SNP	PVAL	Disease	COMP	CisGene	TissScores	CompGenes_CompScores	FDR
12:69735492	1e-60	Blood protein levels	171	LYZ_LYZ	-0.000730983_-0.0176857	ADIPOQ_-3.0784\AIRE_-10.0495\BLZF1_2.08342\C11orf63_2.279\CCDC140_-2.9313\CDAN1_-2.90499\CDKN2AIPNL_-2.47557\CHI3L2_1.94465\CREB1_-2.76646\CYLC2_-4.88137\DUSP19_-2.83386\EID2B_-2.71867\FAM177A1_-3.26636\FKBP14_2.8227\GRIPAP1_2.63431\HNRNPU_2.65742\IL17RD_1.98361\KRT9_-3.32107\LILRB3_-5.6379\LMOD3_2.98601\MAGT1_2.47356\MCM8_-3.54392\PCDHA11_-3.21254\PECR_1.95504\PHAX_2.20199\PNPT1_-6.52762\RBM44_-3.4639\ROCK2_-2.97383\SEMA3E_1.98447\SHCBP1_-8.40676\SLC44A4_-3.59748\SLC4A5_-3.28045\SNAPC1_-2.61484\TDRD1_2.09579\TMEM17_2.67351\TNFSF15_2.31971\XRCC2_2.84517\ZNF394_2.50714\ZNF483_2.38955\ZNF549_2.6345\ZNF577_2.19981\ZNF69_2.20328	0.000997462996823503
12:56412487	9e-10	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00284944082429373
12:56412487	2e-13	Asthma	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00284944082429373
12:56412487	3e-08	Alopecia areata	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00284944082429373
12:56412487	5e-18	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00284944082429373
12:56416928	3e-14	Vitiligo	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00287268189128302
12:56416928	6e-16	Educational attainment (years of education)	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00287268189128302
12:56416928	2e-09	Educational attainment (college completion)	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00287268189128302
12:56482180	2e-20	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00291047962598972
12:56482180	3e-16	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00291047962598972
12:56482180	2e-25	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00291047962598972
12:56482180	3e-27	Type 1 diabetes	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00291047962598972
12:56480583	3e-07	Cognitive function	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00291982183384465
12:56435412	1e-09	Nonsyndromic cleft lip with cleft palate	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00292443871696891
12:56396768	4e-09	Pediatric autoimmune diseases	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00483345107896317
12:56390636	9e-26	Polycystic ovary syndrome	302	RPS26_RPS26	0.0251044_0.0225281	ANKRD36B_0.614988\AP3M2_-0.89755\BEND4_1.33657\C1GALT1_0.71975\C3AR1_0.637514\C6orf120_0.655657\CDCP1_-0.660427\CDKN2C_0.613672\CEP152_-0.607554\CMTM4_-0.630893\DCAF16_1.36939\FBXO46_0.765865\FGD6_-0.628262\GDPD5_-0.700653\GPR160_-0.839899\GSTZ1_-0.637436\HSCB_-0.643146\ILKAP_-0.632296\ITGA4_0.681812\LSM8_0.61796\MRS2_-0.688595\MYBPC3_-0.623481\NUFIP2_-0.652207\PALLD_0.601752\PRR7_-0.615329\PRRG1_0.948408\PSAT1_0.860952\RPL28_-0.751514\RPL37A_0.947881\RPS26_1.39272\SGPP1_-0.645517\SLC10A7_0.718734\SNAP29_-0.621232\SPN_0.629437\SSH1_0.654675\ST3GAL4_-0.655084\SYNGR1_-0.964586\TM6SF1_0.80418\TSPYL1_0.673965\WASF2_0.633837\WFS1_-0.787115\ZHX2_0.826311\ZNF502_-0.672829\ZNF532_-0.669144	0.00769749889009243
12:69752200	7e-10	Cerebrospinal fluid biomarker levels	470	LYZ_LYZ	-0.00832447_-0.00758261	AFMID_18.0071\BLZF1_2.79378\CCBE1_-3.40678\CDC42EP1_3.0557\CDKN2AIPNL_-3.90302\CHRNA5_4.34739\CREB1_-15.7373\DDX51_-5.34249\DUSP14_3.00513\DUSP19_-15.186\EID2B_-12.5674\GGA1_3.04036\KRT9_-3.69545\LAIR2_3.59656\LMOD3_3.26922\LYZ_29.652\MCF2L2_-3.14567\MPPE1_-3.20636\NOD1_2.74498\P2RY10_2.82412\PPID_-3.5935\PRIM2_-3.22968\PRRG4_-6.01204\PTK2_3.07333\SHCBP1_14.9393\SHROOM4_4.54146\SLC30A6_-3.56055\SLC35E1_-3.43203\SMAP1_-3.32004\TMEM159_-3.62264\TRIM13_-5.09782\TRIM16L_-4.74382\WDR47_3.53899\XRCC2_3.47624\ZMAT3_2.9244\ZNF69_3.5206	0.0105640304817856
12:56394954	1e-10	Rheumatoid arthritis	246	RPS26_RPS26	-0.0388715_-0.0268802	ADAM15_0.511484\ALDH18A1_-0.458343\ATF7IP2_-0.506707\BAG1_0.440953\BEND4_0.850857\C16orf62_0.467558\CDC7_0.501623\DCAF16_0.761385\ESR1_0.493366\EXOG_0.428587\FAM3A_0.527727\FLT3_-0.450485\FTSJ1_-0.458701\JAZF1_0.439405\KCNK13_-0.516058\LST1_0.430308\MBTPS1_-0.560401\MED19_0.523587\MPRIP_-0.462415\MT1H_0.46116\NCL_0.561162\NEFH_-0.524548\NKTR_-0.469228\PLXNA3_-0.586436\PRKAB1_0.599593\RANBP2_0.427886\RPL13_-0.448291\RPS26_0.80574\RREB1_0.431659\SCRN1_-0.451087\SEPT6_-0.61043\SHPK_-0.463557\SORL1_-0.533692\STAT2_0.446307\STX11_-0.467404\TMCC1_-0.454201\TMLHE_0.513776\TRAPPC2_-0.476067\UBE3C_-0.581494\ZNF326_0.456198\ZNF543_-0.438192\ZNF641_-0.43571	0.0127691682167177
12:56394954	2e-08	Rheumatoid arthritis	246	RPS26_RPS26	-0.0388715_-0.0268802	ADAM15_0.511484\ALDH18A1_-0.458343\ATF7IP2_-0.506707\BAG1_0.440953\BEND4_0.850857\C16orf62_0.467558\CDC7_0.501623\DCAF16_0.761385\ESR1_0.493366\EXOG_0.428587\FAM3A_0.527727\FLT3_-0.450485\FTSJ1_-0.458701\JAZF1_0.439405\KCNK13_-0.516058\LST1_0.430308\MBTPS1_-0.560401\MED19_0.523587\MPRIP_-0.462415\MT1H_0.46116\NCL_0.561162\NEFH_-0.524548\NKTR_-0.469228\PLXNA3_-0.586436\PRKAB1_0.599593\RANBP2_0.427886\RPL13_-0.448291\RPS26_0.80574\RREB1_0.431659\SCRN1_-0.451087\SEPT6_-0.61043\SHPK_-0.463557\SORL1_-0.533692\STAT2_0.446307\STX11_-0.467404\TMCC1_-0.454201\TMLHE_0.513776\TRAPPC2_-0.476067\UBE3C_-0.581494\ZNF326_0.456198\ZNF543_-0.438192\ZNF641_-0.43571	0.0127691682167177
12:56470625	1e-11	Type 1 diabetes	246	RPS26_RPS26	-0.0388715_-0.0268802	ADAM15_0.511484\ALDH18A1_-0.458343\ATF7IP2_-0.506707\BAG1_0.440953\BEND4_0.850857\C16orf62_0.467558\CDC7_0.501623\DCAF16_0.761385\ESR1_0.493366\EXOG_0.428587\FAM3A_0.527727\FLT3_-0.450485\FTSJ1_-0.458701\JAZF1_0.439405\KCNK13_-0.516058\LST1_0.430308\MBTPS1_-0.560401\MED19_0.523587\MPRIP_-0.462415\MT1H_0.46116\NCL_0.561162\NEFH_-0.524548\NKTR_-0.469228\PLXNA3_-0.586436\PRKAB1_0.599593\RANBP2_0.427886\RPL13_-0.448291\RPS26_0.80574\RREB1_0.431659\SCRN1_-0.451087\SEPT6_-0.61043\SHPK_-0.463557\SORL1_-0.533692\STAT2_0.446307\STX11_-0.467404\TMCC1_-0.454201\TMLHE_0.513776\TRAPPC2_-0.476067\UBE3C_-0.581494\ZNF326_0.456198\ZNF543_-0.438192\ZNF641_-0.43571	0.0226519469763424
12:56435929	4e-08	Inflammatory skin disease	288	RPS26_RPS26	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0528258496542157
12:56394954	1e-10	Rheumatoid arthritis	288	RPS26_RPS26	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0533654335030672
12:56394954	2e-08	Rheumatoid arthritis	288	RPS26_RPS26	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0533654335030672
12:56470625	1e-11	Type 1 diabetes	288	RPS26_RPS26	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.056631238896244
12:56435929	4e-08	Inflammatory skin disease	246	RPS26_RPS26	-0.0388715_-0.0268802	ADAM15_0.511484\ALDH18A1_-0.458343\ATF7IP2_-0.506707\BAG1_0.440953\BEND4_0.850857\C16orf62_0.467558\CDC7_0.501623\DCAF16_0.761385\ESR1_0.493366\EXOG_0.428587\FAM3A_0.527727\FLT3_-0.450485\FTSJ1_-0.458701\JAZF1_0.439405\KCNK13_-0.516058\LST1_0.430308\MBTPS1_-0.560401\MED19_0.523587\MPRIP_-0.462415\MT1H_0.46116\NCL_0.561162\NEFH_-0.524548\NKTR_-0.469228\PLXNA3_-0.586436\PRKAB1_0.599593\RANBP2_0.427886\RPL13_-0.448291\RPS26_0.80574\RREB1_0.431659\SCRN1_-0.451087\SEPT6_-0.61043\SHPK_-0.463557\SORL1_-0.533692\STAT2_0.446307\STX11_-0.467404\TMCC1_-0.454201\TMLHE_0.513776\TRAPPC2_-0.476067\UBE3C_-0.581494\ZNF326_0.456198\ZNF543_-0.438192\ZNF641_-0.43571	0.0646859686014111
12:56401085	8e-12	Vitiligo	288	RPS26_RPS26	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.0670784648407839
